 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,State,County,Overdose_mortality
CN0507300000000,5,73,"Lafayette County, AR",Arkansas,Lafayette,
CN0507500000000,5,75,"Lawrence County, AR",Arkansas,Lawrence,
CN0507700000000,5,77,"Lee County, AR",Arkansas,Lee,
CN0507900000000,5,79,"Lincoln County, AR",Arkansas,Lincoln,
CN0508100000000,5,81,"Little River County, AR",Arkansas,Little River,
CN0508300000000,5,83,"Logan County, AR",Arkansas,Logan,15
CN0508500000000,5,85,"Lonoke County, AR",Arkansas,Lonoke,16
CN0508700000000,5,87,"Madison County, AR",Arkansas,Madison,
CN0508900000000,5,89,"Marion County, AR",Arkansas,Marion,
CN0509100000000,5,91,"Miller County, AR",Arkansas,Miller,8
CN0509300000000,5,93,"Mississippi County, AR",Arkansas,Mississippi,8
CN0509500000000,5,95,"Monroe County, AR",Arkansas,Monroe,
CN0509700000000,5,97,"Montgomery County, AR",Arkansas,Montgomery,
CN0509900000000,5,99,"Nevada County, AR",Arkansas,Nevada,
CN0510100000000,5,101,"Newton County, AR",Arkansas,Newton,
CN0510300000000,5,103,"Ouachita County, AR",Arkansas,Ouachita,
CN0510500000000,5,105,"Perry County, AR",Arkansas,Perry,
CN0510700000000,5,107,"Phillips County, AR",Arkansas,Phillips,
CN0510900000000,5,109,"Pike County, AR",Arkansas,Pike,
CN0511100000000,5,111,"Poinsett County, AR",Arkansas,Poinsett,
CN0511300000000,5,113,"Polk County, AR",Arkansas,Polk,
CN0511500000000,5,115,"Pope County, AR",Arkansas,Pope,7
CN0511700000000,5,117,"Prairie County, AR",Arkansas,Prairie,
CN0511900000000,5,119,"Pulaski County, AR",Arkansas,Pulaski,13
CN0512100000000,5,121,"Randolph County, AR",Arkansas,Randolph,
CN0512300000000,5,123,"St. Francis County, AR",Arkansas,St. Francis,
CN0512500000000,5,125,"Saline County, AR",Arkansas,Saline,12
CN0512700000000,5,127,"Scott County, AR",Arkansas,Scott,
CN0512900000000,5,129,"Searcy County, AR",Arkansas,Searcy,
CN0513100000000,5,131,"Sebastian County, AR",Arkansas,Sebastian,12
CN0513300000000,5,133,"Sevier County, AR",Arkansas,Sevier,
CN0513500000000,5,135,"Sharp County, AR",Arkansas,Sharp,24
CN0513700000000,5,137,"Stone County, AR",Arkansas,Stone,
CN0513900000000,5,139,"Union County, AR",Arkansas,Union,
CN0514100000000,5,141,"Van Buren County, AR",Arkansas,Van Buren,
CN0514300000000,5,143,"Washington County, AR",Arkansas,Washington,8
CN0514500000000,5,145,"White County, AR",Arkansas,White,14
CN0514700000000,5,147,"Woodruff County, AR",Arkansas,Woodruff,
CN0514900000000,5,149,"Yell County, AR",Arkansas,Yell,
CN0600100000000,6,1,"Alameda County, CA",California,Alameda,11
CN0600300000000,6,3,"Alpine County, CA",California,Alpine,
CN0600500000000,6,5,"Amador County, CA",California,Amador,24
CN0600700000000,6,7,"Butte County, CA",California,Butte,29
CN0600900000000,6,9,"Calaveras County, CA",California,Calaveras,22
CN0601100000000,6,11,"Colusa County, CA",California,Colusa,
CN0601300000000,6,13,"Contra Costa County, CA",California,Contra Costa,11
CN0601500000000,6,15,"Del Norte County, CA",California,Del Norte,22
CN0601700000000,6,17,"El Dorado County, CA",California,El Dorado,22
CN0601900000000,6,19,"Fresno County, CA",California,Fresno,12
CN0602100000000,6,21,"Glenn County, CA",California,Glenn,21
CN0602300000000,6,23,"Humboldt County, CA",California,Humboldt,31
CN0602500000000,6,25,"Imperial County, CA",California,Imperial,18
CN0602700000000,6,27,"Inyo County, CA",California,Inyo,25
CN0602900000000,6,29,"Kern County, CA",California,Kern,23
CN0603100000000,6,31,"Kings County, CA",California,Kings,13
CN0603300000000,6,33,"Lake County, CA",California,Lake,50
CN0603500000000,6,35,"Lassen County, CA",California,Lassen,34
CN0603700000000,6,37,"Los Angeles County, CA",California,Los Angeles,8
CN0603900000000,6,39,"Madera County, CA",California,Madera,15
CN0604100000000,6,41,"Marin County, CA",California,Marin,10
CN0604300000000,6,43,"Mariposa County, CA",California,Mariposa,21
CN0604500000000,6,45,"Mendocino County, CA",California,Mendocino,24
CN0604700000000,6,47,"Merced County, CA",California,Merced,13
CN0604900000000,6,49,"Modoc County, CA",California,Modoc,
CN0605100000000,6,51,"Mono County, CA",California,Mono,
CN0605300000000,6,53,"Monterey County, CA",California,Monterey,12
CN0605500000000,6,55,"Napa County, CA",California,Napa,12
CN0605700000000,6,57,"Nevada County, CA",California,Nevada,21
CN0605900000000,6,59,"Orange County, CA",California,Orange,12
CN0606100000000,6,61,"Placer County, CA",California,Placer,11
CN0606300000000,6,63,"Plumas County, CA",California,Plumas,47
CN0606500000000,6,65,"Riverside County, CA",California,Riverside,14
CN0606700000000,6,67,"Sacramento County, CA",California,Sacramento,17
CN0606900000000,6,69,"San Benito County, CA",California,San Benito,10
CN0607100000000,6,71,"San Bernardino County, CA",California,San Bernardino,6
CN0607300000000,6,73,"San Diego County, CA",California,San Diego,13
CN0607500000000,6,75,"San Francisco County/city, CA",California,San Francisco,19
CN0607700000000,6,77,"San Joaquin County, CA",California,San Joaquin,16
CN0607900000000,6,79,"San Luis Obispo County, CA",California,San Luis Obispo,15
CN0608100000000,6,81,"San Mateo County, CA",California,San Mateo,8
CN0608300000000,6,83,"Santa Barbara County, CA",California,Santa Barbara,14
CN0608500000000,6,85,"Santa Clara County, CA",California,Santa Clara,8
CN0608700000000,6,87,"Santa Cruz County, CA",California,Santa Cruz,19
CN0608900000000,6,89,"Shasta County, CA",California,Shasta,22
CN0609100000000,6,91,"Sierra County, CA",California,Sierra,
CN0609300000000,6,93,"Siskiyou County, CA",California,Siskiyou,18
CN0609500000000,6,95,"Solano County, CA",California,Solano,14
CN0609700000000,6,97,"Sonoma County, CA",California,Sonoma,13
CN0609900000000,6,99,"Stanislaus County, CA",California,Stanislaus,15
CN0610100000000,6,101,"Sutter County, CA",California,Sutter,11
CN0610300000000,6,103,"Tehama County, CA",California,Tehama,12
CN0610500000000,6,105,"Trinity County, CA",California,Trinity,
CN0610700000000,6,107,"Tulare County, CA",California,Tulare,9
CN0610900000000,6,109,"Tuolumne County, CA",California,Tuolumne,33
CN0611100000000,6,111,"Ventura County, CA",California,Ventura,14
CN0611300000000,6,113,"Yolo County, CA",California,Yolo,13
CN0611500000000,6,115,"Yuba County, CA",California,Yuba,12
CN0800100000000,8,1,"Adams County, CO",Colorado,Adams,18
CN0800300000000,8,3,"Alamosa County, CO",Colorado,Alamosa,29
CN0800500000000,8,5,"Arapahoe County, CO",Colorado,Arapahoe,17
CN0800700000000,8,7,"Archuleta County, CO",Colorado,Archuleta,
CN0800900000000,8,9,"Baca County, CO",Colorado,Baca,
CN0801100000000,8,11,"Bent County, CO",Colorado,Bent,
CN0801300000000,8,13,"Boulder County, CO",Colorado,Boulder,15
CN0801400000000,8,14,"Broomfield County/city, CO",Colorado,Broomfield,12
CN0801500000000,8,15,"Chaffee County, CO",Colorado,Chaffee,
CN0801700000000,8,17,"Cheyenne County, CO",Colorado,Cheyenne,
CN0801900000000,8,19,"Clear Creek County, CO",Colorado,Clear Creek,
CN0802100000000,8,21,"Conejos County, CO",Colorado,Conejos,
CN0802300000000,8,23,"Costilla County, CO",Colorado,Costilla,
CN0802500000000,8,25,"Crowley County, CO",Colorado,Crowley,
CN0802700000000,8,27,"Custer County, CO",Colorado,Custer,
CN0802900000000,8,29,"Delta County, CO",Colorado,Delta,
CN0803100000000,8,31,"Denver County/city, CO",Colorado,Denver,19
CN0803300000000,8,33,"Dolores County, CO",Colorado,Dolores,
CN0803500000000,8,35,"Douglas County, CO",Colorado,Douglas,8
CN0803700000000,8,37,"Eagle County, CO",Colorado,Eagle,9
CN0803900000000,8,39,"Elbert County, CO",Colorado,Elbert,
CN0804100000000,8,41,"El Paso County, CO",Colorado,El Paso,20
CN0804300000000,8,43,"Fremont County, CO",Colorado,Fremont,14
CN0804500000000,8,45,"Garfield County, CO",Colorado,Garfield,9
CN0804700000000,8,47,"Gilpin County, CO",Colorado,Gilpin,
CN0804900000000,8,49,"Grand County, CO",Colorado,Grand,
CN0805100000000,8,51,"Gunnison County, CO",Colorado,Gunnison,
CN0805300000000,8,53,"Hinsdale County, CO",Colorado,Hinsdale,
CN0805500000000,8,55,"Huerfano County, CO",Colorado,Huerfano,51
CN0805700000000,8,57,"Jackson County, CO",Colorado,Jackson,
CN0805900000000,8,59,"Jefferson County, CO",Colorado,Jefferson,15
CN0806100000000,8,61,"Kiowa County, CO",Colorado,Kiowa,
CN0806300000000,8,63,"Kit Carson County, CO",Colorado,Kit Carson,
CN0806500000000,8,65,"Lake County, CO",Colorado,Lake,
CN0806700000000,8,67,"La Plata County, CO",Colorado,La Plata,12
CN0806900000000,8,69,"Larimer County, CO",Colorado,Larimer,17
CN0807100000000,8,71,"Las Animas County, CO",Colorado,Las Animas,52
CN0807300000000,8,73,"Lincoln County, CO",Colorado,Lincoln,
CN0807500000000,8,75,"Logan County, CO",Colorado,Logan,
CN0807700000000,8,77,"Mesa County, CO",Colorado,Mesa,16
CN0807900000000,8,79,"Mineral County, CO",Colorado,Mineral,
CN0808100000000,8,81,"Moffat County, CO",Colorado,Moffat,
CN0808300000000,8,83,"Montezuma County, CO",Colorado,Montezuma,14
CN0808500000000,8,85,"Montrose County, CO",Colorado,Montrose,
CN0808700000000,8,87,"Morgan County, CO",Colorado,Morgan,15
CN0808900000000,8,89,"Otero County, CO",Colorado,Otero,18
CN0809100000000,8,91,"Ouray County, CO",Colorado,Ouray,
CN0809300000000,8,93,"Park County, CO",Colorado,Park,
CN0809500000000,8,95,"Phillips County, CO",Colorado,Phillips,
CN0809700000000,8,97,"Pitkin County, CO",Colorado,Pitkin,
CN0809900000000,8,99,"Prowers County, CO",Colorado,Prowers,
CN0810100000000,8,101,"Pueblo County, CO",Colorado,Pueblo,28
CN0810300000000,8,103,"Rio Blanco County, CO",Colorado,Rio Blanco,
CN0810500000000,8,105,"Rio Grande County, CO",Colorado,Rio Grande,
CN0810700000000,8,107,"Routt County, CO",Colorado,Routt,
CN0810900000000,8,109,"Saguache County, CO",Colorado,Saguache,
CN0811100000000,8,111,"San Juan County, CO",Colorado,San Juan,
CN0811300000000,8,113,"San Miguel County, CO",Colorado,San Miguel,
CN0811500000000,8,115,"Sedgwick County, CO",Colorado,Sedgwick,
CN0811700000000,8,117,"Summit County, CO",Colorado,Summit,14
CN0811900000000,8,119,"Teller County, CO",Colorado,Teller,17
CN0812100000000,8,121,"Washington County, CO",Colorado,Washington,
CN0812300000000,8,123,"Weld County, CO",Colorado,Weld,13
CN0812500000000,8,125,"Yuma County, CO",Colorado,Yuma,
CN0900100000000,9,1,"Fairfield County, CT",Connecticut,Fairfield,13
CN0900300000000,9,3,"Hartford County, CT",Connecticut,Hartford,19
CN0900500000000,9,5,"Litchfield County, CT",Connecticut,Litchfield,27
CN0900700000000,9,7,"Middlesex County, CT",Connecticut,Middlesex,20
CN0900900000000,9,9,"New Haven County, CT",Connecticut,New Haven,20
CN0901100000000,9,11,"New London County, CT",Connecticut,New London,24
CN0901300000000,9,13,"Tolland County, CT",Connecticut,Tolland,15
CN0901500000000,9,15,"Windham County, CT",Connecticut,Windham,25
CN1000100000000,10,1,"Kent County, DE",Delaware,Kent,22
CN1000300000000,10,3,"New Castle County, DE",Delaware,New Castle,19
CN1000500000000,10,5,"Sussex County, DE",Delaware,Sussex,19
CN1100100000000,11,1,District of Columbia,District of Columbia,District of Columbia,16
CN1200100000000,12,1,"Alachua County, FL",Florida,Alachua,9
CN1200300000000,12,3,"Baker County, FL",Florida,Baker,20
CN1200500000000,12,5,"Bay County, FL",Florida,Bay,15
CN1200700000000,12,7,"Bradford County, FL",Florida,Bradford,20
CN1200900000000,12,9,"Brevard County, FL",Florida,Brevard,22
CN1201100000000,12,11,"Broward County, FL",Florida,Broward,12
CN1201300000000,12,13,"Calhoun County, FL",Florida,Calhoun,
CN1201500000000,12,15,"Charlotte County, FL",Florida,Charlotte,7
CN1201700000000,12,17,"Citrus County, FL",Florida,Citrus,19
CN1201900000000,12,19,"Clay County, FL",Florida,Clay,19
CN1202100000000,12,21,"Collier County, FL",Florida,Collier,13
CN1202300000000,12,23,"Columbia County, FL",Florida,Columbia,18
CN1202700000000,12,27,"DeSoto County, FL",Florida,DeSoto,12
CN1202900000000,12,29,"Dixie County, FL",Florida,Dixie,31
CN1203100000000,12,31,"Duval County, FL",Florida,Duval,17
CN1203300000000,12,33,"Escambia County, FL",Florida,Escambia,13
CN1203500000000,12,35,"Flagler County, FL",Florida,Flagler,13
CN1203700000000,12,37,"Franklin County, FL",Florida,Franklin,
CN1203900000000,12,39,"Gadsden County, FL",Florida,Gadsden,
CN1204100000000,12,41,"Gilchrist County, FL",Florida,Gilchrist,
CN1204300000000,12,43,"Glades County, FL",Florida,Glades,
CN1204500000000,12,45,"Gulf County, FL",Florida,Gulf,
CN1204700000000,12,47,"Hamilton County, FL",Florida,Hamilton,
CN1204900000000,12,49,"Hardee County, FL",Florida,Hardee,
CN1205100000000,12,51,"Hendry County, FL",Florida,Hendry,
CN1205300000000,12,53,"Hernando County, FL",Florida,Hernando,20
CN1205500000000,12,55,"Highlands County, FL",Florida,Highlands,16
CN1205700000000,12,57,"Hillsborough County, FL",Florida,Hillsborough,13
CN1205900000000,12,59,"Holmes County, FL",Florida,Holmes,
CN1206100000000,12,61,"Indian River County, FL",Florida,Indian River,14
CN1206300000000,12,63,"Jackson County, FL",Florida,Jackson,7
CN1206500000000,12,65,"Jefferson County, FL",Florida,Jefferson,
CN1206700000000,12,67,"Lafayette County, FL",Florida,Lafayette,
CN1206900000000,12,69,"Lake County, FL",Florida,Lake,13
CN1207100000000,12,71,"Lee County, FL",Florida,Lee,12
CN1207300000000,12,73,"Leon County, FL",Florida,Leon,6
CN1207500000000,12,75,"Levy County, FL",Florida,Levy,17
CN1207700000000,12,77,"Liberty County, FL",Florida,Liberty,
CN1207900000000,12,79,"Madison County, FL",Florida,Madison,
CN1208100000000,12,81,"Manatee County, FL",Florida,Manatee,29
CN1208300000000,12,83,"Marion County, FL",Florida,Marion,16
CN1208500000000,12,85,"Martin County, FL",Florida,Martin,16
CN1208600000000,12,86,"Miami-Dade County, FL",Florida,Miami-Dade,6
CN1208700000000,12,87,"Monroe County, FL",Florida,Monroe,19
CN1208900000000,12,89,"Nassau County, FL",Florida,Nassau,14
CN1209100000000,12,91,"Okaloosa County, FL",Florida,Okaloosa,13
CN1209300000000,12,93,"Okeechobee County, FL",Florida,Okeechobee,24
CN1209500000000,12,95,"Orange County, FL",Florida,Orange,13
CN1209700000000,12,97,"Osceola County, FL",Florida,Osceola,12
CN1209900000000,12,99,"Palm Beach County, FL",Florida,Palm Beach,19
CN1210100000000,12,101,"Pasco County, FL",Florida,Pasco,22
CN1210300000000,12,103,"Pinellas County, FL",Florida,Pinellas,20
CN1210500000000,12,105,"Polk County, FL",Florida,Polk,15
CN1210700000000,12,107,"Putnam County, FL",Florida,Putnam,10
CN1210900000000,12,109,"St. Johns County, FL",Florida,St. Johns,10
CN1211100000000,12,111,"St. Lucie County, FL",Florida,St. Lucie,15
CN1211300000000,12,113,"Santa Rosa County, FL",Florida,Santa Rosa,12
CN1211500000000,12,115,"Sarasota County, FL",Florida,Sarasota,18
CN1211700000000,12,117,"Seminole County, FL",Florida,Seminole,13
CN1211900000000,12,119,"Sumter County, FL",Florida,Sumter,11
CN1212100000000,12,121,"Suwannee County, FL",Florida,Suwannee,11
CN1212300000000,12,123,"Taylor County, FL",Florida,Taylor,
CN1212500000000,12,125,"Union County, FL",Florida,Union,
CN1212700000000,12,127,"Volusia County, FL",Florida,Volusia,18
CN1212900000000,12,129,"Wakulla County, FL",Florida,Wakulla,
CN1213100000000,12,131,"Walton County, FL",Florida,Walton,7
CN1213300000000,12,133,"Washington County, FL",Florida,Washington,
CN1300100000000,13,1,"Appling County, GA",Georgia,Appling,
CN1300300000000,13,3,"Atkinson County, GA",Georgia,Atkinson,
CN1300500000000,13,5,"Bacon County, GA",Georgia,Bacon,
CN1300700000000,13,7,"Baker County, GA",Georgia,Baker,
CN1300900000000,13,9,"Baldwin County, GA",Georgia,Baldwin,8
CN1301100000000,13,11,"Banks County, GA",Georgia,Banks,
CN1301300000000,13,13,"Barrow County, GA",Georgia,Barrow,14
CN1301500000000,13,15,"Bartow County, GA",Georgia,Bartow,17
CN1301700000000,13,17,"Ben Hill County, GA",Georgia,Ben Hill,
CN1301900000000,13,19,"Berrien County, GA",Georgia,Berrien,
CN1302100000000,13,21,"Bibb County, GA",Georgia,Bibb,10
CN1302300000000,13,23,"Bleckley County, GA",Georgia,Bleckley,
CN1302500000000,13,25,"Brantley County, GA",Georgia,Brantley,
CN1302700000000,13,27,"Brooks County, GA",Georgia,Brooks,
CN1302900000000,13,29,"Bryan County, GA",Georgia,Bryan,
CN1303100000000,13,31,"Bulloch County, GA",Georgia,Bulloch,6
CN1303300000000,13,33,"Burke County, GA",Georgia,Burke,
CN1303500000000,13,35,"Butts County, GA",Georgia,Butts,18
CN1303700000000,13,37,"Calhoun County, GA",Georgia,Calhoun,
CN1303900000000,13,39,"Camden County, GA",Georgia,Camden,10
CN1304300000000,13,43,"Candler County, GA",Georgia,Candler,
CN1304500000000,13,45,"Carroll County, GA",Georgia,Carroll,17
CN1304700000000,13,47,"Catoosa County, GA",Georgia,Catoosa,17
CN1304900000000,13,49,"Charlton County, GA",Georgia,Charlton,
CN1305100000000,13,51,"Chatham County, GA",Georgia,Chatham,10
CN1305300000000,13,53,"Chattahoochee County, GA",Georgia,Chattahoochee,
CN1305500000000,13,55,"Chattooga County, GA",Georgia,Chattooga,
CN1305700000000,13,57,"Cherokee County, GA",Georgia,Cherokee,18
